player_id,first_name,last_name,team name,oppenent team name,total points predicted
208,Noni,Madueke,Chelsea,Man City,0.633
209,Mason,Mount,Man Utd,Luton,1.757
210,Mykhailo,Mudryk,Chelsea,Man City,1.336
211,Nicolas,Jackson,Chelsea,Man City,0.865
212,Christopher,Nkunku,Chelsea,Man City,0.278
213,Christian,Pulisic,Chelsea,Man City,0.335
214,Malang,Sarr,Chelsea,Man City,0.441
215,Gabriel,Słonina,Chelsea,Man City,0.283
216,Raheem,Sterling,Chelsea,Man City,1.433
217,Thiago,Emiliano da Silva,Chelsea,Man City,1.201
218,Hakim,Ziyech,Chelsea,Man City,0.335
219,Naouirou,Ahamada,Crystal Palace,Everton,1.131
220,Joachim,Andersen,Crystal Palace,Everton,3.507
221,Jordan,Ayew,Crystal Palace,Everton,2.125
222,Nathaniel,Clyne,Crystal Palace,Everton,0.617
223,Cheick,Doucouré,Crystal Palace,Everton,1.511
224,Malcolm,Ebiowei,Crystal Palace,Everton,0.635
225,Odsonne,Edouard,Crystal Palace,Everton,1.949
226,Eberechi,Eze,Crystal Palace,Everton,0.952
227,Vicente,Guaita,Crystal Palace,Everton,0.506
228,Marc,Guéhi,Crystal Palace,Everton,2.573
229,Will,Hughes,Crystal Palace,Everton,1.752
230,Sam,Johnstone,Crystal Palace,Everton,3.152
231,Jefferson,Lerma Solís,Crystal Palace,Everton,1.324
232,Jean-Philippe,Mateta,Crystal Palace,Everton,1.806
233,Remi,Matthews,Crystal Palace,Everton,0.506
234,Tyrick,Mitchell,Crystal Palace,Everton,2.621
235,Jake,O'Brien,Crystal Palace,Everton,1.441
236,Michael,Olise,Crystal Palace,Everton,0.635
237,Luke,Plange,Crystal Palace,Everton,0.579
238,Chris,Richards,Crystal Palace,Everton,1.307
239,Jairo,Riedewald,Crystal Palace,Everton,1.058
240,Jeffrey,Schlupp,Crystal Palace,Everton,1.441
241,James,Tomkins,Crystal Palace,Everton,1.441
242,Joel,Ward,Crystal Palace,Everton,1.809
243,Joe,Whitworth,Crystal Palace,Everton,0.506
244,André,Tavares Gomes,Everton,Crystal Palace,0.603
245,Jarrad,Branthwaite,Everton,Crystal Palace,1.47
246,Dominic,Calvert-Lewin,Everton,Crystal Palace,2.43
247,Seamus,Coleman,Everton,Crystal Palace,1.285
