gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
10,2.0794415416798357,0.0,1.4350845252893227,0.0,0.023716526617316065,0.015873349156290163,0.03922071315328133,0.3307415619122278,0.7884573603642703,4,0,0,0,1,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,0,1
10,4.309455941839047,0.1823215567939546,2.3978952727983707,0.5877866649021191,0.23269776411902143,0.13976194237515863,0.3450071390710503,0.7109870986882764,1.5260563034950492,2,1,0,0,1,0
10,4.51085950651685,0.3364722366212129,3.100092288878234,0.6931471805599453,0.031498667059371016,0.1292723357041391,0.1570037488096647,0.7314058926770356,1.7227665977411035,3,0,0,1,0,0
4,3.106080330722856,0.0,1.791759469228055,0.28768207245178085,0.013245226750020505,0.009950330853168092,0.02306527293099597,0.30503071078639393,0.9808292530117262,4,0,0,0,0,1
10,4.51085950651685,0.0,3.2809112157876537,0.7884573603642703,0.0,0.0,0.0,1.1600209167967532,1.5260563034950492,2,0,1,0,0,0
7,3.6375861597263857,0.0,2.0541237336955462,0.1823215567939546,0.033434776086237204,0.003992021269537457,0.03729578474369693,0.8153648132841944,0.9555114450274363,3,0,0,1,0,0
9,3.6838669122903918,0.0,2.747270914255491,0.3364722366212129,0.06765864847381466,0.11154137473290732,0.17227122094045313,0.23901690047049992,1.5686159179138452,3,1,0,0,1,0
7,3.0819099697950434,0.0,2.3608540011180215,0.1823215567939546,0.025667746748577813,0.054488185284069776,0.07881118042428985,0.1380212978973746,1.4350845252893227,3,1,0,0,1,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
8,4.366912996863833,0.1823215567939546,2.785011242238338,0.6931471805599453,0.1939206926373065,0.09349034308733897,0.27155269052189734,0.9162907318741551,1.6863989535702288,3,1,0,0,0,1
7,3.1441522786722644,0.1823215567939546,2.5649493574615367,0.1823215567939546,0.017839918128331016,0.13627761829254775,0.15186234930924603,0.11154137473290732,1.4816045409242156,2,0,0,0,1,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,1,0,0
10,2.9338568698359038,0.0,2.3608540011180215,0.0,0.07325046173959274,0.005982071677547469,0.07881118042428985,0.3701832939635246,1.3862943611198906,2,0,0,0,1,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
5,3.901972669574645,0.0,2.1972245773362196,0.5596157879354227,0.04401688541677426,0.10210522293715359,0.1419334958886666,0.8447947301690849,1.4469189829363254,2,0,0,0,1,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,1,0
4,2.662587827025453,0.0,2.456735772821304,0.0,0.016529301951210506,0.18509548367667988,0.19885085874516517,0.2337537304262252,1.3862943611198906,3,0,0,0,1,0
11,4.3254562831854875,0.3364722366212129,1.9740810260220096,0.6931471805599453,0.10436001532424286,0.02176149178151271,0.1239859797809913,0.7875478559814296,1.2237754316221157,3,1,0,0,1,0
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
8,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,1,0,0,0
9,4.51085950651685,0.47000362924573563,3.2268439945173775,0.6931471805599453,0.0,0.007968169649176881,0.007968169649176881,0.5877866649021191,1.8562979903656263,3,0,0,1,0,0
11,4.036008985209137,0.1823215567939546,1.0986122886681098,0.5877866649021191,0.1839868361130158,0.02761516703297339,0.20701416938432612,0.5877866649021191,1.2237754316221157,2,0,0,0,1,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,1,0,0,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,1,0
